"AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_COUNTRY_NAME","AIRPORT_STATE_NAME","CITY_MARKET_ID","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","UTC_LOCAL_TIME_VARIATION","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
10001,"01A","Afognak Lake Airport","Afognak Lake, AK","United States","Alaska",30001,58,"N",6,34,58.10944444,152,"W",54,24,-152.90666667,"",2007-07-01,,0,1,
10003,"03A","Bear Creek Mining Strip","Granite Mountain, AK","United States","Alaska",30003,65,"N",32,53,65.54805556,161,"W",4,18,-161.07166667,"",2007-07-01,,0,1,
10004,"04A","Lik Mining Camp","Lik, AK","United States","Alaska",30004,68,"N",5,0,68.08333333,163,"W",10,0,-163.16666667,"",2007-07-01,,0,1,
10005,"05A","Little Squaw Airport","Little Squaw, AK","United States","Alaska",30005,67,"N",34,12,67.57000000,148,"W",11,2,-148.18388889,"",2007-08-01,,0,1,
10006,"06A","Kizhuyak Bay","Kizhuyak, AK","United States","Alaska",30006,57,"N",44,43,57.74527778,152,"W",52,58,-152.88277778,"",2007-10-01,,0,1,
10007,"07A","Klawock Seaplane Base","Klawock, AK","United States","Alaska",30007,55,"N",33,17,55.55472222,133,"W",6,6,-133.10166667,"",2008-04-01,,0,1,
10008,"08A","Elizabeth Island Airport","Elizabeth Island, AK","United States","Alaska",30008,59,"N",9,25,59.15694444,151,"W",49,45,-151.82916667,"",2008-06-01,,0,1,
10009,"09A","Augustin Island","Homer, AK","United States","Alaska",30009,59,"N",21,46,59.36277778,153,"W",25,50,-153.43055556,"",2008-06-01,,0,1,
10010,"1B1","Columbia County","Hudson, NY","United States","New York",30010,42,"N",17,20,42.28888889,73,"W",42,37,-73.71027778,"-0500",2009-04-01,2011-06-30,0,0,
10010,"1B1","Columbia County","Hudson, NY","United States","New York",30010,42,"N",17,29,42.29138889,73,"W",42,37,-73.71027778,"-0500",2011-07-01,,0,1,
10011,"1G4","Grand Canyon West","Peach Springs, AZ","United States","Arizona",30011,35,"N",59,25,35.99027778,113,"W",48,59,-113.81638889,"-0700",2008-07-01,2011-09-30,0,0,
10011,"1G4","Grand Canyon West","Peach Springs, AZ","United States","Arizona",30011,35,"N",59,10,35.98611111,113,"W",49,1,-113.81694444,"-0700",2011-10-01,2017-10-31,0,0,
10011,"1G4","Grand Canyon West","Peach Springs, AZ","United States","Arizona",30011,35,"N",59,25,35.99027778,113,"W",48,59,-113.81638889,"-0700",2017-11-01,2017-11-30,0,0,
10011,"1G4","Grand Canyon West","Peach Springs, AZ","United States","Arizona",30011,35,"N",59,10,35.98611111,113,"W",49,1,-113.81694444,"-0700",2017-12-01,,0,1,
10012,"1N7","Blairstown Airport","Blairstown, NJ","United States","New Jersey",30012,40,"N",58,16,40.97111111,74,"W",59,51,-74.99750000,"-0500",2008-07-01,,0,1,
10013,"8F3","Crosbyton Municipal","Crosbyton, TX","United States","Texas",30013,33,"N",37,26,33.62388889,101,"W",14,27,-101.24083333,"",2009-01-01,,0,1,
10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK","United States","Alaska",31517,64,"N",21,51,64.36416667,147,"W",21,41,-147.36138889,"",2002-10-01,2011-06-30,0,0,
10014,"A01","Blair Lake","Fairbanks/Ft. Wainwright, AK","United States","Alaska",31517,64,"N",21,49,64.36361111,147,"W",21,50,-147.36388889,"",2011-07-01,,0,1,
10015,"A02","Deadmans Bay Airport","Deadmans Bay, AK","United States","Alaska",30015,57,"N",4,0,57.06666667,153,"W",56,16,-153.93777778,"",2002-06-01,,0,1,
10016,"A03","Hallo Bay Airport","Hallo Bay, AK","United States","Alaska",30016,58,"N",27,27,58.45750000,154,"W",1,24,-154.02333333,"",2002-04-01,,0,1,
10017,"A04","Red Lake Airport","Red Lake, AK","United States","Alaska",30017,57,"N",16,38,57.27722222,154,"W",20,32,-154.34222222,"",2002-09-01,,0,1,
10018,"A05","Shell Lake Airport","Shell Lake, AK","United States","Alaska",30018,61,"N",57,50,61.96388889,151,"W",33,21,-151.55583333,"",2002-11-01,,0,1,
10019,"A06","Navigator Airstrip","Kougarok, AK","United States","Alaska",30019,65,"N",39,20,65.65555556,165,"W",21,23,-165.35638889,"",2002-06-01,,0,1,
10020,"A07","Roland Norton Memorial Airstrip","Selawik, AK","United States","Alaska",30020,66,"N",45,57,66.76583333,160,"W",9,9,-160.15250000,"",2002-12-01,2011-06-30,0,0,
10020,"A07","Roland Norton Memorial","Selawik, AK","United States","Alaska",30020,66,"N",45,58,66.76611111,160,"W",9,10,-160.15277778,"",2011-07-01,,0,1,
10021,"A08","Pillar Bay Airport","Pillar Bay, AK","United States","Alaska",30021,56,"N",35,53,56.59805556,134,"W",14,34,-134.24277778,"",1950-01-01,,0,1,
10022,"JOH","Johnstone Point Airport","Johnstone Point, AK","United States","Alaska",30022,60,"N",28,53,60.48138889,146,"W",34,56,-146.58222222,"",1974-07-01,2002-12-31,0,0,
10022,"A09","Johnstone Point Airport","Johnstone Point, AK","United States","Alaska",30022,60,"N",28,56,60.48222222,146,"W",34,56,-146.58222222,"",2003-01-01,2013-11-30,0,0,
10022,"A09","Johnstone Point Airport","Johnstone Point, AK","United States","Alaska",30022,60,"N",28,54,60.48166667,146,"W",35,3,-146.58416667,"",2013-12-01,2017-10-31,0,0,
10022,"A09","Johnstone Point Airport","Johnstone Point, AK","United States","Alaska",30022,60,"N",28,56,60.48222222,146,"W",34,56,-146.58222222,"",2017-11-01,2017-11-30,0,0,
10022,"A09","Johnstone Point Airport","Johnstone Point, AK","United States","Alaska",30022,60,"N",28,54,60.48166667,146,"W",35,3,-146.58416667,"",2017-12-01,,0,1,
10023,"TLK","Tikchik Lodge Airport","Tikchik Lodge, AK","United States","Alaska",30023,59,"N",57,20,59.95555556,158,"W",28,50,-158.48055556,"",1950-01-01,2002-11-30,0,0,
10023,"KTH","Tikchik Lodge Airport","Tikchik Lodge, AK","United States","Alaska",30023,59,"N",57,20,59.95555556,158,"W",28,50,-158.48055556,"",2002-12-01,,0,1,
10024,"A11","Bell Creek Airport","Bell Creek, AK","United States","Alaska",30024,60,"N",47,2,60.78388889,159,"W",32,25,-159.54027778,"",2002-12-01,,0,1,
10025,"A12","Cinnabar Airport","Cinnabar, AK","United States","Alaska",30025,60,"N",47,7,60.78527778,158,"W",51,52,-158.86444444,"",2002-12-01,,0,1,
10026,"A13","Mountaintop Mine Airport","Mountaintop Mine, AK","United States","Alaska",30026,61,"N",23,25,61.39027778,157,"W",59,44,-157.99555556,"",2002-12-01,,0,1,
10027,"A14","Whitebear Airport","Whitebear, AK","United States","Alaska",30027,61,"N",11,20,61.18888889,159,"W",51,30,-159.85833333,"",2002-12-01,,0,1,
10028,"A15","Puviaq Airport","Puviaq, AK","United States","Alaska",30028,70,"N",43,7,70.71861111,154,"W",23,18,-154.38833333,"",2003-02-01,2011-06-30,0,0,
10028,"A15","Puviaq Airport","Puviaq, AK","United States","Alaska",30028,70,"N",42,56,70.71555556,154,"W",24,25,-154.40694444,"",2011-07-01,2013-02-28,1,1,
10029,"A16","Arley Lake Airport","Arley Lake, AK","United States","Alaska",30029,70,"N",44,49,70.74694444,155,"W",21,39,-155.36083333,"",2003-03-01,,0,1,
10030,"A17","Port Vita Airport","Port Vita, AK","United States","Alaska",30030,58,"N",3,56,58.06555556,153,"W",4,21,-153.07250000,"",2002-09-01,,0,1,
10031,"A18","Kantishna Airport","Kantishna, AK","United States","Alaska",30031,63,"N",32,30,63.54166667,150,"W",59,38,-150.99388889,"",1950-01-01,2015-11-30,0,0,
10031,"A18","Kantishna Airport","Kantishna, AK","United States","Alaska",30031,63,"N",32,28,63.54111111,150,"W",59,42,-150.99500000,"",2015-12-01,2017-10-31,0,0,
10031,"A18","Kantishna Airport","Kantishna, AK","United States","Alaska",30031,63,"N",32,30,63.54166667,150,"W",59,38,-150.99388889,"",2017-11-01,2017-11-30,0,0,
10031,"A18","Kantishna Airport","Kantishna, AK","United States","Alaska",30031,63,"N",32,28,63.54111111,150,"W",59,42,-150.99500000,"",2017-12-01,,0,1,
10033,"A20","Alpine Airstrip","Alpine, AK","United States","Alaska",30033,70,"N",20,39,70.34416667,150,"W",56,41,-150.94472222,"",2002-08-01,,0,1,
10034,"A21","Serpentine Airport","Serpentine, AK","United States","Alaska",30034,65,"N",51,5,65.85138889,164,"W",42,10,-164.70277778,"",2003-05-01,,0,1,
10035,"A22","Driftwood Bay Airport","Driftwood Bay, AK","United States","Alaska",30035,53,"N",58,22,53.97277778,166,"W",51,25,-166.85694444,"",2003-01-01,,0,1,
10036,"A23","Bradley Lake Airport","Bradley Lake, AK","United States","Alaska",30036,59,"N",46,34,59.77611111,151,"W",57,49,-151.96361111,"",2003-01-01,,0,1,
10037,"A24","Chilkat Lake Airport","Chilkat Lake, AK","United States","Alaska",30037,59,"N",19,54,59.33166667,135,"W",53,48,-135.89666667,"",2002-08-01,,0,1,
10038,"A25","Nugget Creek Airport","Nugget Creek, AK","United States","Alaska",30038,59,"N",17,18,59.28833333,136,"W",10,26,-136.17388889,"",2002-08-01,,0,1,
10039,"A26","Ivotuk Airstrip","Ivotuk, AK","United States","Alaska",30039,68,"N",29,0,68.48333333,155,"W",44,0,-155.73333333,"",2003-05-01,,0,1,
10040,"A27","Pogo Mines Airport","Pogo Mines, AK","United States","Alaska",30040,64,"N",26,24,64.44000000,144,"W",56,11,-144.93638889,"",2003-10-01,,0,1,
10041,"A28","Ayakulik River Airport","Ayakulik River, AK","United States","Alaska",30041,57,"N",15,14,57.25388889,154,"W",25,20,-154.42222222,"",2001-01-01,,0,1,
10042,"A29","Kiluda Bay Airport","Kiluda Bay, AK","United States","Alaska",30042,57,"N",19,23,57.32305556,153,"W",8,58,-153.14944444,"",2001-01-01,,0,1,
10043,"A30","Terror Lake Airport","Terror Lake, AK","United States","Alaska",30043,57,"N",57,50,57.96388889,153,"W",3,30,-153.05833333,"",2001-01-01,,0,1,
